Enabled,SectionName,DisplayName,Description
1,userdata,User Data,Files and directories (drives modules/extended/userdata_backup)
1,outlook_pop,Outlook POP Account,POP3/SMTP account settings + PST mapping + Strategy B-light restore (Phase 2.10.3)
1,credentials,Windows Credentials,Credential Manager target/user list (passwords NOT captured) + restore payload for operator re-entry (v0.19.0)
1,msime_dict,MS-IME Dictionary,Microsoft IME user dictionary (imjp15cu.dic + auto-backup) - fixed path across Win10/11 and old/new IME (v0.22.0)
1,system_evidence,PC基本情報採取,System / network / printer / serial / installed-software / wifi / env-vars + lan-prep snapshot (v0.26.0, forced)
1,printer,Printer Environment,Drivers / ports / print settings (drives modules/extended/printer_backup)
1,application,アプリケーション情報,Installed applications (Desktop + Store) - relocated from system_evidence (t-0009)
